Date,Close,Open,High,Low,Volume
"Apr 04, 2018",19264.22,19398.01,19398.01,19199.81,366410000
"Apr 03, 2018",19398.01,19460.47,19460.63,19245.22,383420000
"Mar 29, 2018",19460.47,19356.59,19508,19356.59,429610000
"Mar 28, 2018",19356.59,19389.13,19389.13,19165.66,310060000
"Mar 27, 2018",19389.13,19187.09,19448.65,19187.09,330730000
"Mar 26, 2018",19187.09,19319.48,19371.6,19145.47,284500000
"Mar 23, 2018",19319.48,19393.89,19393.89,19091.06,535120000
"Mar 22, 2018",19393.89,19668.04,19680.69,19345.29,437900000
"Mar 21, 2018",19668.04,19723.56,19732.43,19618.26,397280000
"Mar 20, 2018",19723.56,19694.77,19765.81,19668.11,376930000
"Mar 19, 2018",19694.77,19804.9,19845.07,19677.25,475900000
"Mar 16, 2018",19804.9,19828.41,19883.38,19729.3,1020000000
"Mar 15, 2018",19828.41,19820.12,19866.97,19736.26,437470000
"Mar 14, 2018",19820.12,19863.23,19958.37,19813.3,373140000
"Mar 13, 2018",19863.23,20117.53,20128.19,19843.19,459550000
"Mar 12, 2018",20117.53,20085.07,20184.94,20049.32,391980000
"Mar 09, 2018",20085.07,19968.01,20085.07,19968.01,381210000
"Mar 08, 2018",19968.01,19774.17,19976.92,19760.67,369650000
"Mar 07, 2018",19774.17,19690.31,19775.47,19635.63,351740000
"Mar 06, 2018",19690.31,19567,19726.9,19567,368030000
"Mar 05, 2018",19567,19386.54,19567.67,19377.26,356100000
"Mar 02, 2018",19386.54,19551.7,19551.7,19363.73,396150000
"Mar 01, 2018",19551.7,19687.27,19713.28,19516.05,394520000
"Feb 28, 2018",19687.27,19875.78,19875.78,19687.27,412550000
"Feb 27, 2018",19875.78,19828.73,19966.89,19827.5,388520000
"Feb 26, 2018",19828.73,19801.05,19899.98,19801.05,336210000
"Feb 23, 2018",19801.05,19736.06,19805.08,19727.87,382550000
"Feb 22, 2018",19736.06,19788.89,19789.14,19597.99,462770000
"Feb 21, 2018",19788.89,19802.91,19804.5,19674.96,423990000
"Feb 20, 2018",19802.91,19653.57,19823.6,19653.57,294440000
"Feb 19, 2018",19653.57,19733.64,19788.78,19642.96,237610000
"Feb 16, 2018",19733.64,19574.76,19750,19574.76,306630000
"Feb 15, 2018",19574.76,19448.38,19667.72,19448.04,400050000
"Feb 14, 2018",19448.38,19320.08,19482.81,19296.11,387480000
"Feb 13, 2018",19320.08,19379.33,19422.96,19306.29,324000000
"Feb 12, 2018",19379.33,19217.49,19490.68,19217.49,320440000
"Feb 09, 2018",19217.49,19327.69,19327.69,19165.84,418720000
"Feb 08, 2018",19327.69,19691.65,19692.9,19327.69,423890000
"Feb 07, 2018",19691.65,19262.56,19723.93,19262.56,439520000
